;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean of Bias;Mean CP
332;-1,404835804;0,41383664;-29,75820978;1;;;;;
333;-1,744712814;0,504743988;-12,76435928;1;;;;;
334;-1,25876955;1,002869915;-37,06152248;1;;;;;
335;-2,193339164;0,538209178;9,666958191;1;;;;;
336;-1,227758382;0,544388435;-38,61208088;1;;;;;
337;-0,810383287;1,018002544;-59,48083563;1;;;;;
338;-2,374860279;0,509295704;18,74301396;1;;;;;
339;-2,078949804;0,625849936;3,947490199;1;;;;;
340;-2,390550821;0,513749752;19,52754106;1;;;;;
341;-2,033157028;0,506630373;1,657851405;1;;;;;
342;-1,942031131;0,488770781;-2,89844345;1;;;;;
343;-3,989873549;1,141380809;99,49367747;1;;;;;
344;-1,287008279;0,856120652;-35,64958606;1;;;;;
345;-2,262638011;0,554810451;13,13190055;1;;;;;
346;-1,839846414;0,374260121;-8,007679299;1;;;;;
347;-4,026714606;0,833922889;101,3357303;0;;;;;
348;-2,205915988;0,576187811;10,2957994;1;;;;;
349;-1,550251633;0,547570222;-22,48741835;1;;;;;
350;-1,75932424;0,544468324;-12,03378799;1;;;;;
351;-2,392459277;0,748597184;19,62296386;1;;;;;
352;-2,072041726;0,5804609;3,602086283;1;;;;;
353;-0,854076056;0,713122159;-57,29619718;1;;;;;
354;-1,874575365;0,515423889;-6,271231746;1;;;;;
355;-1,549373386;0,571066045;-22,53133072;1;;;;;
356;-1,962931395;0,540747306;-1,85343026;1;;;;;
357;-1,935407386;0,430126141;-3,229630719;1;;;;;
358;-2,500456051;0,53459127;25,02280255;1;;;;;
359;-2,48255105;0,735687127;24,12755248;1;;;;;
360;-2,198112228;0,460814861;9,90561138;1;;;;;
361;-2,864847531;0,898571554;43,24237657;1;;;;;
362;-1,464653207;0,817160636;-26,76733967;1;;;;;
363;-2,372812507;0,635470837;18,64062536;1;;;;;
364;-2,454299151;0,715724404;22,71495753;1;;;;;
365;-1,499033025;0,735785309;-25,04834874;1;;;;;
366;-1,362141383;0,696886405;-31,89293085;1;;;;;
367;-2,509544014;0,820012415;25,47720068;1;;;;;
368;-2,085930791;0,434426574;4,296539535;1;;;;;
369;-2,305346425;0,407480137;15,26732126;1;;;;;
370;-1,212701653;0,995614511;-39,36491736;1;;;;;
371;-1,89075883;0,465734128;-5,46205848;1;;;;;
372;-1,576839452;0,540563671;-21,15802738;1;;;;;
